Instance;Time;OF
pmed1.txt;0.094;8405.0
pmed10.txt;10.534;2173.0
pmed11.txt;0.344;10298.0
pmed12.txt;1.844;9320.0
pmed13.txt;16.239;6448.0
pmed14.txt;50.569;4834.0
pmed15.txt;97.677;2922.0
pmed16.txt;0.39;11338.0
pmed17.txt;3.856;9684.0
pmed18.txt;82.746;6893.0
pmed19.txt;129.312;4684.0
pmed2.txt;0.062;6356.0
pmed20.txt;319.703;3236.0
pmed21.txt;0.672;12671.0
pmed22.txt;6.788;11520.0
pmed23.txt;230.006;6848.0
pmed24.txt;551.461;4686.0
pmed25.txt;525.244;3241.0
pmed26.txt;0.657;13278.0
pmed27.txt;7.362;11058.0
pmed28.txt;281.288;6560.0
pmed29.txt;820.172;4829.0
pmed3.txt;0.109;6612.0
pmed30.txt;2177.985;3387.0
pmed31.txt;1.672;14081.0
pmed32.txt;7.707;12679.0
pmed33.txt;600.916;7073.0
pmed34.txt;1785.067;4842.0
pmed35.txt;1.579;14275.0
pmed36.txt;8.742;13641.0
pmed37.txt;1041.187;7509.0
pmed38.txt;2.096;15056.0
pmed39.txt;28.425;12680.0
pmed4.txt;1.109;4861.0
pmed40.txt;2963.494;7526.0
pmed5.txt;0.829;2444.0
pmed6.txt;0.063;11150.0
pmed7.txt;0.282;8336.0
pmed8.txt;4.132;6857.0
pmed9.txt;8.453;4573.0
