Instance;Time;OF
pmed1.txt;0.078;8405.0
pmed10.txt;2.817;2173.0
pmed11.txt;0.078;10492.0
pmed12.txt;0.344;9558.0
pmed13.txt;3.566;6462.0
pmed14.txt;10.4;4869.0
pmed15.txt;14.469;2948.0
pmed16.txt;0.235;11338.0
pmed17.txt;1.094;10062.0
pmed18.txt;8.567;6950.0
pmed19.txt;24.53;4688.0
pmed2.txt;0.016;6356.0
pmed20.txt;51.828;3245.0
pmed21.txt;0.297;12671.0
pmed22.txt;0.922;11650.0
pmed23.txt;28.329;6912.0
pmed24.txt;85.167;4705.0
pmed25.txt;121.151;3245.0
pmed26.txt;0.36;13278.0
pmed27.txt;1.625;11083.0
pmed28.txt;46.467;6568.0
pmed29.txt;178.332;4841.0
pmed3.txt;0.031;6612.0
pmed30.txt;218.13;3445.0
pmed31.txt;0.656;14081.0
pmed32.txt;3.162;12679.0
pmed33.txt;136.676;7086.0
pmed34.txt;269.772;4921.0
pmed35.txt;0.907;14275.0
pmed36.txt;3.649;13641.0
pmed37.txt;156.664;7546.0
pmed38.txt;1.296;15056.0
pmed39.txt;6.732;12748.0
pmed4.txt;0.125;4973.0
pmed40.txt;310.395;7561.0
pmed5.txt;0.297;2461.0
pmed6.txt;0.016;11150.0
pmed7.txt;0.11;8336.0
pmed8.txt;0.485;7067.0
pmed9.txt;1.987;4603.0
