Instance;Time;OF
pmed1.txt;0.062;8210.0
pmed10.txt;30.612;2173.0
pmed11.txt;0.547;10298.0
pmed12.txt;5.034;9291.0
pmed13.txt;82.897;6415.0
pmed14.txt;171.335;4812.0
pmed15.txt;376.459;2920.0
pmed16.txt;0.824;11338.0
pmed17.txt;8.372;9684.0
pmed18.txt;253.445;6892.0
pmed19.txt;671.081;4667.0
pmed2.txt;0.312;6230.0
pmed20.txt;766.184;3229.0
pmed21.txt;1.484;12671.0
pmed22.txt;13.623;11520.0
pmed23.txt;581.973;6856.0
pmed24.txt;1100.778;4681.0
pmed25.txt;3567.541;3220.0
pmed26.txt;1.438;13278.0
pmed27.txt;18.024;11058.0
pmed28.txt;1257.553;6528.0
pmed29.txt;4882.834;4800.0
pmed3.txt;0.36;6612.0
pmed30.txt;4875.555;3386.0
pmed31.txt;4.139;14081.0
pmed32.txt;26.002;12679.0
pmed33.txt;1921.192;7060.0
pmed34.txt;5950.403;4839.0
pmed35.txt;3.716;14275.0
pmed36.txt;27.191;13641.0
pmed37.txt;2589.973;7509.0
pmed38.txt;4.959;15056.0
pmed39.txt;46.233;12680.0
pmed4.txt;1.656;4856.0
pmed40.txt;6589.478;7495.0
pmed5.txt;2.612;2420.0
pmed6.txt;0.15;11150.0
pmed7.txt;2.234;8215.0
pmed8.txt;7.758;6857.0
pmed9.txt;40.924;4540.0
